Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
1.0,MineCraft,2014,Misc,Sony Computer Entertainment Europe,0.22,0.73,1.23,0.27,2.45
2.0,Call of Duty Black Ops: Declassified,2012,Misc,Activision,0.74,0.52,0.07,0.38,1.71
3.0,Uncharted: Golden Abyss,2011,Action,Sony Computer Entertainment,0.53,0.71,0.13,0.25,1.62
4.0,Assassin's Creed,2012,Adventure,Ubisoft,0.53,0.57,0.06,0.32,1.48
5.0,LittleBigPlanet PS Vita,2012,Platform,Sony Computer Entertainment,0.36,0.69,0.02,0.31,1.38
6.0,persona 4: The golden,2012,Role-Playing,Atlus,0.37,0.29,0.39,0.21,1.25
7.0,Need for Speed: Most Wanted (a Criterion Game),2012,Misc,Electronic Arts,0.33,0.53,0.01,0.25,1.12
8.0,Killzone: Mercenary,2013,Misc,Sony Computer Entertainment,0.2,0.47,0.04,0.2,0.92
9.0,Final Fantasy X / X-2 HD Remaster,2013,Role-Playing,Square Enix,0.16,0.29,0.28,0.13,0.86
10.0,Mortal Kombat,2012,Fighting,Warner Bros. Interactive Entertainment,0.42,0.15,0.0,0.15,0.71
11.0,Tearaway,2013,Platform,Sony Computer Entertainment Europe,0.1,0.41,0.0,0.19,0.69
12.0,Borderlands 2,2014,Shooter,Unknown,0.33,0.18,0.01,0.16,0.68
13.0,FIFA 15,2014,Sports,EA Sports,0.09,0.38,0.06,0.13,0.66
14.0,Freedom Wars,2014,Misc,Sony Computer Entertainment,0.15,0.1,0.32,0.08,0.66
15.0,FIFA Soccer,2012,Misc,EA Sports,0.16,0.35,0.02,0.09,0.63
16.0,Gravity Rush,2012,Misc,Sony Computer Entertainment,0.21,0.2,0.09,0.1,0.6
17.0,Everybody's Golf,2011,Sports,Sony Computer Entertainment,0.15,0.12,0.26,0.06,0.59
18.0,Rayman Origins,2012,Platform,Ubisoft,0.12,0.37,0.0,0.1,0.59
19.0,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.11,0.33,0.0,0.13,0.57
20.0,Soul Sacrifice,2013,Misc,Sony Computer Entertainment,0.15,0.11,0.22,0.08,0.56
21.0,Unit 13,2012,Misc,Sony Computer Entertainment,0.25,0.15,0.04,0.09,0.53
22.0,FIFA Soccer 14,2013,Sports,EA Sports,0.08,0.3,0.01,0.11,0.5
23.0,PlayStation All-Stars Battle Royale,2012,Fighting,Sony Computer Entertainment,0.21,0.16,0.01,0.12,0.5
24.0,Virtua Tennis 4,2011,Sports,Sega,0.04,0.34,0.01,0.09,0.49
